"Codi","Nom","Codi comarca","Nom comarca","UTM X","UTM Y","Longitud","Latitud","Georeferència"
"172235","Vilajuïga","02","Alt Empordà","507,756.7964","4,686,138.244","3.094145391","42.3274526","POINT (3.094145391 42.3274526)"
"430509","Creixell","36","Tarragonès","369,185.2229","4,558,549.951","1.440627272","41.16773933","POINT (1.440627272 41.16773933)"
"171061","Mollet de Peralada","02","Alt Empordà","500,047.1156","4,689,591.141","3.000572131","42.35858847","POINT (3.000572131 42.35858847)"
"170932","Llers","02","Alt Empordà","492,713.7465","4,682,679.336","2.911609249","42.29630565","POINT (2.911609249 42.29630565)"
"250997","Golmés","27","Pla d'Urgell","327,839.5674","4,611,049.912","0.933110148","41.63260825","POINT (0.933110148 41.63260825)"
"431055","Piles, les","16","Conca de Barberà","361,657.498","4,596,016.23","1.342395363","41.50383442","POINT (1.342395363 41.50383442)"
"082362","Sant Quintí de Mediona","03","Alt Penedès","388,356.6364","4,590,946.797","1.663146513","41.46234959","POINT (1.663146513 41.46234959)"
"081923","Santpedor","07","Bages","403,537.1809","4,626,364.925","1.839177662","41.78327337","POINT (1.839177662 41.78327337)"
"080399","Campins","41","Vallès Oriental","455,411.2083","4,619,330.521","2.463909429","41.72452859","POINT (2.463909429 41.72452859)"
"080207","Begues","11","Baix Llobregat","410,015.8869","4,575,968.237","1.924677961","41.33017397","POINT (1.924677961 41.33017397)"
"431687","Vilanova de Prades","16","Conca de Barberà","329,033.4489","4,579,413.532","0.956407714","41.34808373","POINT (0.956407714 41.34808373)"
"081799","Rellinars","40","Vallès Occidental","409,282.0662","4,610,094.857","1.910774943","41.63743115","POINT (1.910774943 41.63743115)"
"431114","Pobla de Montornès, la","36","Tarragonès","367,014.6194","4,559,820.099","1.414486274","41.17882324","POINT (1.414486274 41.17882324)"
"252120","Sunyer","33","Segrià","299,130.8162","4,599,596.676","0.59254954","41.52282505","POINT (0.59254954 41.52282505)"
"080522","Castellar de n'Hug","14","Berguedà","418,968.6244","4,681,651.894","2.017208352","42.28287514","POINT (2.017208352 42.28287514)"
"250523","Bellvís","27","Pla d'Urgell","318,322.968","4,615,683.555","0.817527266","41.67220364","POINT (0.817527266 41.67220364)"
"082009","Sant Boi de Llobregat","11","Baix Llobregat","419,913.8378","4,577,778.726","2.042704219","41.34752428","POINT (2.042704219 41.34752428)"
"250791","Cubells","23","Noguera","330,421.1362","4,635,444.494","0.95713334","41.85274554","POINT (0.95713334 41.85274554)"
"082750","Tavèrnoles","24","Osona","444,181.3832","4,644,682.645","2.326511576","41.9521483","POINT (2.326511576 41.9521483)"
"172288","Vilanant","02","Alt Empordà","490,856.7089","4,678,095.343","2.889153626","42.25500164","POINT (2.889153626 42.25500164)"
"172142","Vilabertran","02","Alt Empordà","498,325.7811","4,681,260.82","2.979693865","42.28356246","POINT (2.979693865 42.28356246)"
"171616","Sant Feliu de Pallerols","19","Garrotxa","459,258.5093","4,658,269.552","2.50747617","42.0754392","POINT (2.50747617 42.0754392)"
"431508","Tivissa","30","Ribera d'Ebre","309,424.7499","4,545,963.54","0.732607845","41.04260664","POINT (0.732607845 41.04260664)"
"082732","Subirats","03","Alt Penedès","399,215.6562","4,581,910.929","1.794652615","41.38241395","POINT (1.794652615 41.38241395)"
"081939","Sant Iscle de Vallalta","21","Maresme","464,121.1364","4,608,105.437","2.569300136","41.62386593","POINT (2.569300136 41.62386593)"
"172180","Vilademuls","28","Pla de l'Estany","490,741.6107","4,665,161.324","2.887964208","42.1385121","POINT (2.887964208 42.1385121)"
"252022","Senterada","25","Pallars Jussà","329,976.656","4,687,887.337","0.936534555","42.3246735","POINT (0.936534555 42.3246735)"
"431042","Perelló, el","09","Baix Ebre","307,205.2807","4,527,396.503","0.712002694","40.87496069","POINT (0.712002694 40.87496069)"
"171349","Planoles","31","Ripollès","426,131.6634","4,685,289.845","2.103610131","42.31634679","POINT (2.103610131 42.31634679)"
"251484","Odèn","35","Solsonès","366,701.4237","4,665,871.266","1.387099236","42.13362308","POINT (1.387099236 42.13362308)"
"171058","Mieres","19","Garrotxa","470,234.567","4,663,624.477","2.639889942","42.12416017","POINT (2.639889942 42.12416017)"
"170314","Cabanelles","02","Alt Empordà","485,106.6792","4,675,370.383","2.819514826","42.23037144","POINT (2.819514826 42.23037144)"
"082495","Santa Fe del Penedès","03","Alt Penedès","393,082.6781","4,582,224.926","1.721265848","41.38445001","POINT (1.721265848 41.38445001)"
"430477","Constantí","36","Tarragonès","350,116.574","4,557,289.224","1.213727473","41.15308728","POINT (1.213727473 41.15308728)"
"081038","Jorba","06","Anoia","379,054.2526","4,606,583.527","1.548645289","41.6018025","POINT (1.548645289 41.6018025)"
"082248","Sant Martí de Centelles","24","Osona","437,738.2307","4,623,832.894","2.250971253","41.76389065","POINT (2.250971253 41.76389065)"
"081252","Montcada i Reixac","40","Vallès Occidental","432,193.9722","4,593,005.656","2.187770377","41.48579566","POINT (2.187770377 41.48579566)"
"251288","Llimiana","25","Pallars Jussà","327,624.0702","4,660,220.427","0.916202262","42.07514407","POINT (0.916202262 42.07514407)"
"170545","Colera","02","Alt Empordà","512,397.7005","4,694,631.168","3.150655224","42.40388031","POINT (3.150655224 42.40388031)"
"250518","Bellver de Cerdanya","15","Cerdanya","399,088.2385","4,691,666.714","1.774387211","42.37073001","POINT (1.774387211 42.37073001)"
"431093","Pobla de Mafumet, la","36","Tarragonès","349,822.6029","4,561,127.232","1.209284685","41.18758866","POINT (1.209284685 41.18758866)"
"082378","Sant Quirze de Besora","24","Osona","435,687.5941","4,661,203.555","2.22222543","42.10028539","POINT (2.22222543 42.10028539)"
"251410","Montoliu de Segarra","32","Segarra","355,803.9506","4,605,731.255","1.269958038","41.5902694","POINT (1.269958038 41.5902694)"
"081000","Gurb","24","Osona","437,271.3629","4,643,445.696","2.243276016","41.94048906","POINT (2.243276016 41.94048906)"
"080109","Artés","07","Bages","413,171.2076","4,627,891.855","1.95486944","41.79813699","POINT (1.95486944 41.79813699)"
"082900","Ullastrell","40","Vallès Occidental","412,974.4545","4,597,776.279","1.956888262","41.52690369","POINT (1.956888262 41.52690369)"
"252017","Sarroca de Bellera","25","Pallars Jussà","325,506.5575","4,691,896.619","0.881107541","42.35976804","POINT (0.881107541 42.35976804)"
